"asset_path","archetype","field","current_value","round2_value","delta","priority","rule_id","reason"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","elite","attackCooldown","1.15","1.23","0.08","P2","G3+EL7","High token reject rate: soften attack contention | Elite over-dominant attack"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Elite.asset","elite","chargeChance","0.32","0.34","0.02","P3","EL8","Increase behavior variety"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","grunt","attackCooldown","1.5","1.42","-0.08","P1","GR1","Grunt attack share too low"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Grunt.asset","grunt","chaseSpeed","4.1","4.25","0.15","P2","GR2","Grunt chase pressure too weak"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","rusher","chargeChance","0.4","0.45","0.05","P1","RU1","Rusher charge share too low"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","rusher","chargeMaxDistance","4.8","5.05","0.25","P2","RU2","Expand charge trigger distance"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","rusher","dodgeChance","0.34","0.37","0.03","P2","RU5","Rusher dodge share too low"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Rusher.asset","rusher","dodgeCooldown","1.8","1.68","-0.12","P3","RU6","Increase dodge retry frequency"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","tank","blockChance","0.52","0.47","-0.05","P1","TA3","Tank block share too high"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","tank","attackCooldown","2.2","2.1","-0.1","P2","TA5","Tank attack share too low"
"C:\test\Shrimp\Assets\GameDesign\Data\EnemyArchetype_Tank.asset","tank","blockCooldown","2.3","2.48","0.18","P2","TA4","Open more windows after block"
