"level_id","scene_name","story_objective","main_quest","side_quest","boss_gate","target_duration_min","stronghold_order","event_theme","timeline_mmss","first_clear_rewards","all_clear_rewards","drop_profile","learning_focus"
"LEVEL_01","Level_01_TrenchRift","建立裂隙危机与前线守备背景","l01_rift_beacons","l01_combo_30","None","30-32","S1->S2->S3","教学期 Reinforcement/Chase/Hold -> Protect","00:00-02:29 入口/目标提示 | 02:29-10:32 据点A | 10:32-13:38 过渡补给 | 13:38-21:05 据点B | 21:05-28:31 据点C/终段绕行 | 28:31-31:00 结算","EXP470/P3/C110","EXP530/P4/C130","70/25/5/0/0","先解风险源再清场，建立目标优先级"
"LEVEL_02","Level_02_WreckedStation","回收黑匣子并恢复研究站供能","l02_blackbox_recovery","l02_salvage_sweep","None","33-35","S1->S2->S3","双据点均覆盖四类事件，强化切线能力","00:00-02:43 入口/目标提示 | 02:43-11:34 据点A | 11:34-14:58 过渡补给 | 14:58-23:07 据点B | 23:07-31:17 据点C/终段绕行 | 31:17-34:00 结算","EXP520/P3/C140","EXP600/P4/C170","70/25/5/0/0","多目标并行下的优先级切换"
"LEVEL_03","Level_03_ThermalVents","稳定热井并首次承接Boss干扰","l03_vent_stabilization","l03_combo_50","Boss_SulfurKing","37-39","S1->S2->S3","ProtectTarget成为主考点，Chase打断站桩","00:00-02:17 入口/目标提示 | 02:17-11:01 据点A | 11:01-14:04 过渡补给 | 14:04-22:25 据点B | 22:25-27:44 据点C/终段绕行 | 27:44-36:06 Boss战 | 36:06-38:00 结算","EXP580/P4/C160","EXP670/P5/C190","55/35/10/0/0","保护目标时转火纪律与站位轮换"
"LEVEL_04","Level_04_CoralGrove","清除感染珊瑚并建立守点-清场双线","l04_coral_purge","l04_combo_50","Boss_CoralCore","39-41","S1->S2->S3","Hold/Protect交替，降低单点疲劳","00:00-02:24 入口/目标提示 | 02:24-11:36 据点A | 11:36-14:48 过渡补给 | 14:48-23:36 据点B | 23:36-29:12 据点C/终段绕行 | 29:12-38:00 Boss战 | 38:00-40:00 结算","EXP620/P4/C175","EXP710/P5/C205","55/35/10/0/0","高压守点中的位移路径规划"
"LEVEL_05","Level_05_SunkenCity","重启城市中继并扩大作战半径","l05_city_relay","l05_combo_60","Boss_TideArbiter","42-44","S1->S2->S3","Reinforcement频率提升，Protect作为峰值锁定","00:00-02:35 入口/目标提示 | 02:35-12:28 据点A | 12:28-15:55 过渡补给 | 15:55-25:22 据点B | 25:22-31:23 据点C/终段绕行 | 31:23-40:51 Boss战 | 40:51-43:00 结算","EXP680/P5/C210","EXP790/P6/C250","40/40/18/2*/0","资源保留与推进速度平衡"
"LEVEL_06","Level_06_BlackTidePipes","切断黑潮管线与供能网络","l06_pipeline_shutdown","l06_combo_60","Boss_CorrosionTrain","44-46","S1->S2->S3","Protect失败惩罚明确化，追击逼位持续化","00:00-02:42 入口/目标提示 | 02:42-13:03 据点A | 13:03-16:39 过渡补给 | 16:39-26:33 据点B | 26:33-32:51 据点C/终段绕行 | 32:51-42:45 Boss战 | 42:45-45:00 结算","EXP730/P5/C230","EXP850/P6/C270","40/40/18/2*/0","高压段错误恢复与二次组织"
"LEVEL_07","Level_07_AbyssHangar","封锁机库投送线并进入终盘前夜","l07_hangar_lockdown","l07_combo_70","Boss_ChainColossus","47-49","S1->S2->S3","Reinforcement+Hold复合，压迫连续不脱节","00:00-02:53 入口/目标提示 | 02:53-13:55 据点A | 13:55-17:46 过渡补给 | 17:46-28:19 据点B | 28:19-35:02 据点C/终段绕行 | 35:02-45:36 Boss战 | 45:36-48:00 结算","EXP780/P5/C260","EXP910/P6/C310","40/40/18/2*/0","中长战斗节奏切换与复盘"
"LEVEL_08","Level_08_MoltenRift","冷却裂隙并击败区域领主","l08_rift_cooling","l08_kill_120","Boss_MoltenNarwhal","50-52","S1->S2->S3","四类事件全覆盖，Boss前强制完成冷却链","00:00-03:04 入口/目标提示 | 03:04-14:47 据点A | 14:47-18:52 过渡补给 | 18:52-30:05 据点B | 30:05-37:14 据点C/终段绕行 | 37:14-48:27 Boss战 | 48:27-51:00 结算","EXP830/P5/C280","EXP970/P6/C330","30/40/23/6*/1","事件链与Boss资源衔接"
"LEVEL_09","Level_09_StillTideSanctum","击碎共振场并切断镜潮控制","l09_sanctum_disrupt","l09_combo_70","Boss_MirrorTidemancer","53-55","S1->S2->S3","Hold期间远程牵制增强，Chase负责破阵","00:00-03:14 入口/目标提示 | 03:14-15:40 据点A | 15:40-19:59 过渡补给 | 19:59-31:52 据点B | 31:52-39:25 据点C/终段绕行 | 39:25-51:18 Boss战 | 51:18-54:00 结算","EXP880/P5/C300","EXP1030/P6/C350","30/40/23/6*/1","高压段远程点位先手处理"
"LEVEL_10","Level_10_HiveCore","终局总攻并摧毁母巢核心","l10_hive_core","l10_combo_80","Boss_HiveCore","57-59","S1->S2->S3","Protect+Reinforcement叠加后接三阶段Boss","00:00-03:29 入口/目标提示 | 03:29-16:49 据点A | 16:49-21:28 过渡补给 | 21:28-34:13 据点B | 34:13-42:20 据点C/终段绕行 | 42:20-55:06 Boss战 | 55:06-58:00 结算","EXP970/P7/C350","EXP1130/P9/C410","20/35/30/12*/3","全系统综合考试与容错管理"
