check_id,status,value,note
file.exists.GameEvents.cs,Ok,Assets/ThirdPersonController/Scripts/Core/GameEvents.cs,source_found
file.exists.AudioManager.cs,Ok,Assets/ThirdPersonController/Scripts/Core/AudioManager.cs,source_found
file.exists.ScreenEffectManager.cs,Ok,Assets/ThirdPersonController/Scripts/Core/ScreenEffectManager.cs,source_found
events.required_declared,Ok,Assets/ThirdPersonController/Scripts/Core/GameEvents.cs,Core combat feedback events are declared.
audio.required_subscriptions,Ok,Assets/ThirdPersonController/Scripts/Core/AudioManager.cs,AudioManager subscribes/unsubscribes all required combat feedback events.
audio.required_handlers,Ok,Assets/ThirdPersonController/Scripts/Core/AudioManager.cs,AudioManager has handlers for all required feedback events.
audio.priority_path,Ok,Assets/ThirdPersonController/Scripts/Core/AudioManager.cs,Audio high-priority playback path is available for key events.
vfx.required_subscriptions,Ok,Assets/ThirdPersonController/Scripts/Core/ScreenEffectManager.cs,ScreenEffectManager subscribes/unsubscribes all required visual feedback events.
vfx.required_handlers,Ok,Assets/ThirdPersonController/Scripts/Core/ScreenEffectManager.cs,ScreenEffectManager has handlers for required visual feedback events.
mapping.enemy_hit_knockdown,Ok,Enemy knockdown hit should route to high-priority audio and screen shake.,mapping_ok
mapping.enemy_hit_knockback,Ok,Enemy knockback hit should route to heavy-hit feedback.,mapping_ok
mapping.enemy_killed,Ok,Enemy kill should route to death audio feedback path.,mapping_ok
mapping.berserk_state_changed,Ok,Berserk state should route to audio cue + berserk screen treatment.,mapping_ok
mapping.boss_break_window,Ok,Boss break window should route to dedicated high-priority audio cue.,mapping_ok
