"level_id","level_code_name","target_duration_min","story_objective","layout_blueprint","main_quest","side_quest","stronghold_order","event_theme","boss_gate","drop_profile","featured_pearls","consumable_supply","first_clear_rewards","all_clear_rewards","learning_focus"
"LEVEL_01","Trench Rift","30-32","建立裂隙危机与前线守备背景","入口峡谷->据点A(裂隙边)->狭桥->据点B(信标区)->据点C(终段绕行)->撤离","l01_rift_beacons","l01_combo_30","S1 required,S2 required,S3 required","教学期 Reinforcement/Chase/Hold -> Protect","None","70/25/5/0/0","PRL_Carapace|PRL_CrimsonStrike|PRL_FlowCurrent|PRL_SerratedFin","consumable_medkit x1 (支路保底)","EXP470/P3/C110","EXP530/P4/C130","先解风险源再清场，建立目标优先级"
"LEVEL_02","Wrecked Station","33-35","回收黑匣子并恢复研究站供能","月台废墟->据点A(供电)->机房通道->据点B(实验区)->据点C(终段绕行)->回收点","l02_blackbox_recovery","l02_salvage_sweep","S1 required,S2 required,S3 required","双据点均覆盖四类事件，强化切线能力","None","70/25/5/0/0","PRL_AbyssalMight|PRL_DeepShield|PRL_GlowingTide|PRL_HunterInstinct","consumable_stamina x1 (高机动段保底)","EXP520/P3/C140","EXP600/P4/C170","多目标并行下的优先级切换"
"LEVEL_03","Thermal Vents","37-39","稳定热井并首次承接Boss干扰","热井外圈->据点A(散热阀)->喷口走廊->据点C(终段绕行)->Boss前室","l03_vent_stabilization","l03_combo_50","S1 required,S2 required,S3 required","ProtectTarget成为主考点，Chase打断站桩","Boss_SulfurKing","55/35/10/0/0","PRL_Bioluminescent|PRL_OceanRage|PRL_TidalSurge","consumable_medkit x1 + consumable_stamina x1","EXP580/P4/C160","EXP670/P5/C190","保护目标时转火纪律与站位轮换"
"LEVEL_04","Coral Grove","39-41","清除感染珊瑚并建立守点-清场双线","珊瑚林入口->据点B(净化节点)->回廊->据点C(终段绕行)->Boss前室","l04_coral_purge","l04_combo_50","S1 required,S2 required,S3 required","Hold/Protect交替，降低单点疲劳","Boss_CoralCore","55/35/10/0/0","PRL_Nautilus|PRL_PhantomTide|PRL_VampiricFang","consumable_aegis x1 (保护事件前保底)","EXP620/P4/C175","EXP710/P5/C205","高压守点中的位移路径规划"
"LEVEL_05","Sunken City","42-44","重启城市中继并扩大作战半径","下沉主街->据点A(中继塔)->高架破口->据点B(闸门)->据点C(终段绕行)->Boss前室","l05_city_relay","l05_combo_60","S1 required,S2 required,S3 required","Reinforcement频率提升，Protect作为峰值锁定","Boss_TideArbiter","40/40/18/2*/0","PRL_Stormcoil|PRL_TrenchFury|PRL_Hellbrand|PRL_AbyssalRegen","consumable_medkit x1 + consumable_aegis x1","EXP680/P5/C210","EXP790/P6/C250","资源保留与推进速度平衡"
"LEVEL_06","BlackTide Pipes","44-46","切断黑潮管线与供能网络","管线枢纽->据点A(阀门组)->压力通道->据点B(排放井)->据点C(终段绕行)->Boss前室","l06_pipeline_shutdown","l06_combo_60","S1 required,S2 required,S3 required","Protect失败惩罚明确化，追击逼位持续化","Boss_CorrosionTrain","40/40/18/2*/0","PRL_Stormcoil|PRL_TrenchFury|PRL_OceanRage|PRL_Bioluminescent","consumable_stamina x1 + consumable_aegis x1","EXP730/P5/C230","EXP850/P6/C270","高压段错误恢复与二次组织"
"LEVEL_07","Abyss Hangar","47-49","封锁机库投送线并进入终盘前夜","机库前坪->据点A(升降平台)->维修廊桥->据点B(装配线)->据点C(终段绕行)->Boss前室","l07_hangar_lockdown","l07_combo_70","S1 required,S2 required,S3 required","Reinforcement+Hold复合，压迫连续不脱节","Boss_ChainColossus","40/40/18/2*/0","PRL_Hellbrand|PRL_TrenchFury|PRL_PhantomTide|PRL_VampiricFang","consumable_aegis x1 (B点开战保底)","EXP780/P5/C260","EXP910/P6/C310","中长战斗节奏切换与复盘"
"LEVEL_08","Molten Rift","50-52","冷却裂隙并击败区域领主","熔岩外环->据点A(冷却核心)->断裂环道->据点B(引流口)->据点C(终段绕行)->Boss场","l08_rift_cooling","l08_kill_120","S1 required,S2 required,S3 required","四类事件全覆盖，Boss前强制完成冷却链","Boss_MoltenNarwhal","30/40/23/6*/1","PRL_Kraken|PRL_Leviathan|PRL_Poseidon|PRL_AbyssLord","consumable_medkit x1 + consumable_aegis x1","EXP830/P5/C280","EXP970/P6/C330","事件链与Boss资源衔接"
"LEVEL_09","StillTide Sanctum","53-55","击碎共振场并切断镜潮控制","圣殿外庭->据点A(共振柱)->回字回廊->据点B(镜室)->据点C(终段绕行)->Boss场","l09_sanctum_disrupt","l09_combo_70","S1 required,S2 required,S3 required","Hold期间远程牵制增强，Chase负责破阵","Boss_MirrorTidemancer","30/40/23/6*/1","PRL_Kraken|PRL_Leviathan|PRL_Poseidon|PRL_AbyssLord","consumable_stamina x1 + consumable_aegis x1","EXP880/P5/C300","EXP1030/P6/C350","高压段远程点位先手处理"
"LEVEL_10","Hive Core","57-59","终局总攻并摧毁母巢核心","巢穴外壳->据点A(破拆器)->中枢裂道->据点B(核心门)->据点C(终段绕行)->最终Boss场","l10_hive_core","l10_combo_80","S1 required,S2 required,S3 required","Protect+Reinforcement叠加后接三阶段Boss","Boss_HiveCore","20/35/30/12*/3","PRL_AbyssLord|PRL_Kraken|PRL_Leviathan|PRL_Poseidon","consumable_medkit x1 + consumable_stamina x1 + consumable_aegis x1","EXP970/P7/C350","EXP1130/P9/C410","全系统综合考试与容错管理"
