"level_id","scene_name","topology_type","entry_anchor","hub_anchor","stronghold_a_center","transition_anchor","stronghold_b_center","boss_gate_anchor","boss_arena_center","risk_shortcut_path","main_lane_width_m","side_lane_width_m","arena_a_size_m","arena_b_size_m","boss_pre_room_size_m","cover_density_a","cover_density_b","vertical_points_count","loop_count","min_turns","expected_clear_time_min","whitebox_notes","stronghold_c_center","detour_left_anchor","detour_right_anchor","arena_c_size_m","detour_lane_width_m","cover_density_c"
"LEVEL_01","Level_01_TrenchRift","回字+斜切","(-18,0,0)","(-2,0,36)","(14,0,78)","(-5,0,150)","(-10,0,237)","(-14,0,355)","(-22,0,407)","A左后(补给) -> 中段短路 -> B前沿 -> C侧绕行回路","12","8","34x30","38x34","28x20","中(22%)","中高(26%)","1","3","5","30-32","教学关但必须出现首个环路与一次可选风险路径；新增第三战斗区与双绕行支路","(-32,0,295)","(24.5,0,120)","(-40.5,0,232.5)","42x38","9","高(28%)"
"LEVEL_02","Level_02_WreckedStation","三角枢纽","(0,0,0)","(-22,0,44)","(20,0,84)","(9,0,152)","(-16,0,234)","(-12,0,356)","(-4,0,410)","Hub北侧高架支路(高收益箱) -> C侧绕行回路","12","8","36x32","40x34","30x22","中(24%)","中高(28%)","1","3","6","33-35","三角枢纽用于训练“换路压缩时间”；新增第三战斗区与双绕行支路","(6,0,294)","(-5.5,0,124)","(29.5,0,233)","44x38","9","高(30%)"
"LEVEL_03","Level_03_ThermalVents","双环+短路","(-12,0,0)","(18,0,42)","(28,0,90)","(7,0,158)","(0,0,239)","(-4,0,365)","(-12,0,421)","A后侧热井短路(低血高风险) -> C侧绕行回路","11","8","38x34","40x36","30x24","中高(26%)","高(30%)","2","4","6","37-39","首次Boss关，前室净空与回流点必须明确；新增第三战斗区与双绕行支路","(-22,0,301)","(37.5,0,130)","(-29.5,0,239.5)","45x41","9","高(32%)"
"LEVEL_04","Level_04_CoralGrove","回字+斜切","(10,0,0)","(-16,0,40)","(-24,0,88)","(-2,0,161)","(6,0,246)","(10,0,376)","(18,0,434)","斜切通道穿越中央感染区 -> C侧绕行回路","11","8","38x34","42x36","30x24","中高(28%)","高(32%)","2","4","6","39-41","回字结构要求两个可逆回整位；新增第三战斗区与双绕行支路","(28,0,310)","(-33,0,130.5)","(35,0,245.5)","47x41","9","高(34%)"
"LEVEL_05","Level_05_SunkenCity","8字双环","(-20,0,0)","(0,0,48)","(24,0,96)","(-3,0,170)","(-16,0,255)","(-20,0,389)","(-28,0,449)","8字中节点短路(刷精英) -> C侧绕行回路","12","9","40x36","44x38","32x24","高(30%)","高(34%)","2","4","7","42-44","中盘开始禁止“单向前推”；新增第三战斗区与双绕行支路","(-38,0,321)","(30.5,0,139)","(-42.5,0,255.5)","49x43","10","高(36%)"
"LEVEL_06","Level_06_BlackTidePipes","双环+短路","(8,0,0)","(28,0,46)","(34,0,98)","(15,0,174)","(-18,0,260)","(-14,0,398)","(-6,0,460)","管线旁路(收益高/易被包夹) -> C侧绕行回路","12","9","42x36","44x40","32x24","高(32%)","高(35%)","2","4","7","44-46","Protect事件点必须位于环路交汇处；新增第三战斗区与双绕行支路","(4,0,328)","(4.5,0,142)","(31.5,0,261)","50x46","10","高(37%)"
"LEVEL_07","Level_07_AbyssHangar","三角枢纽","(-8,0,0)","(-30,0,48)","(-26,0,100)","(-8,0,179)","(24,0,267)","(20,0,409)","(12,0,473)","三角第二边为高压捷径 -> C侧绕行回路","12","9","42x38","46x40","34x24","高(33%)","高(36%)","3","4","7","47-49","三角枢纽用于“绕后解压”与资源重整；新增第三战斗区与双绕行支路","(2,0,337)","(3,0,145.5)","(-25,0,268)","52x46","10","高(38%)"
"LEVEL_08","Level_08_MoltenRift","8字双环","(14,0,0)","(-8,0,52)","(-30,0,104)","(1,0,185)","(18,0,274)","(22,0,420)","(30,0,486)","8字环心短路(附加精英波) -> C侧绕行回路","13","9","44x38","48x42","34x26","高(34%)","高(38%)","3","5","8","50-52","终盘前必须保证四类事件点可视可达；新增第三战斗区与双绕行支路","(40,0,346)","(-34.5,0,150.5)","(42.5,0,275.5)","54x48","10","高(40%)"
"LEVEL_09","Level_09_StillTideSanctum","回字+斜切(镜像)","(-14,0,0)","(16,0,54)","(32,0,106)","(0,0,190)","(-18,0,281)","(-22,0,431)","(-30,0,499)","镜像斜切走廊(高机动收益) -> C侧绕行回路","13","9","46x40","48x42","34x26","高(35%)","高(39%)","3","5","8","53-55","镜像布局用于打破路径记忆惯性；新增第三战斗区与双绕行支路","(-40,0,355)","(36,0,154)","(-42,0,282.5)","55x49","10","高(41%)"
"LEVEL_10","Level_10_HiveCore","8字双环+中心枢纽","(0,0,0)","(-24,0,58)","(26,0,112)","(3,0,198)","(-34,0,290)","(-30,0,444)","(-22,0,514)","中心枢纽双短路(高压高收益) -> C侧绕行回路","14","10","48x42","52x46","36x28","高(36%)","高(40%)","3","5","9","57-59","终局要求双环互通且不可出现长直走廊；新增第三战斗区与双绕行支路","(-12,0,366)","(-5.5,0,161)","(17.5,0,292)","59x53","11","高(42%)"
